Z Report (End of Day) for 2025-10-02
TOTAL, $0.00, 0 Orders, Avg/Order: $0.00, Avg/Hour: $0.00, Peak: 09:00 ($0.00)

Hour          |        Sales |   Orders |   Avg Sale | Rush
-----------------------------------------------------------
09:00 - 09:59 |        $0.00 |        0 |      $0.00 |   No
10:00 - 10:59 |        $0.00 |        0 |      $0.00 |   No
11:00 - 11:59 |        $0.00 |        0 |      $0.00 |   No
12:00 - 12:59 |        $0.00 |        0 |      $0.00 |   No
13:00 - 13:59 |        $0.00 |        0 |      $0.00 |   No
14:00 - 14:59 |        $0.00 |        0 |      $0.00 |   No
15:00 - 15:59 |        $0.00 |        0 |      $0.00 |   No
16:00 - 16:59 |        $0.00 |        0 |      $0.00 |   No
17:00 - 17:59 |        $0.00 |        0 |      $0.00 |   No
18:00 - 18:59 |        $0.00 |        0 |      $0.00 |   No
19:00 - 19:59 |        $0.00 |        0 |      $0.00 |   No
20:00 - 20:59 |        $0.00 |        0 |      $0.00 |   No
