Z Report (End of Day) for 2024-10-16
TOTAL, $11686.25, 132 Orders, Avg/Order: $88.53, Avg/Hour: $973.85, Peak: 17:00 ($2257.50)

Hour          |        Sales |   Orders |   Avg Sale | Rush
-----------------------------------------------------------
09:00 - 09:59 |      $473.50 |        9 |     $52.61 |   No
10:00 - 10:59 |      $136.50 |        4 |     $34.13 |   No
11:00 - 11:59 |     $1533.75 |       14 |    $109.55 |  Yes
12:00 - 12:59 |     $1911.00 |       17 |    $112.41 |  Yes
13:00 - 13:59 |     $1192.75 |       15 |     $79.52 |   No
14:00 - 14:59 |      $693.75 |        8 |     $86.72 |   No
15:00 - 15:59 |      $659.50 |       13 |     $50.73 |   No
16:00 - 16:59 |      $490.75 |        8 |     $61.34 |   No
17:00 - 17:59 |     $2257.50 |       17 |    $132.79 |  Yes
18:00 - 18:59 |      $598.75 |       10 |     $59.88 |   No
19:00 - 19:59 |      $716.50 |        8 |     $89.56 |   No
20:00 - 20:59 |     $1022.00 |        9 |    $113.56 |   No
